block_path,block_type,mask_type
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/fex/ SFunction ",S-Function,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/fex/ Terminator ",Terminator,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/fex/F_EX",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Fex/F_EX",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Gain",Gain,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Gain2",Gain,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Gain3",Gain,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/x0",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/up",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/lo",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Constant1",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Integrator
(Discrete or Continuous)",SubSystem,Integrator (Discrete or Continuous)
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Integrator
(Discrete or Continuous)/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Integrator
(Discrete or Continuous)/Reset",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Integrator
(Discrete or Continuous)/x0",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Integrator
(Discrete or Continuous)/Discrete",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Integrator
(Discrete or Continuous)/Discrete/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Integrator
(Discrete or Continuous)/Discrete/Reset",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Integrator
(Discrete or Continuous)/Discrete/x0",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Integrator
(Discrete or Continuous)/Discrete/Integrator",DiscreteIntegrator,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Integrator
(Discrete or Continuous)/Discrete/Saturation",Saturate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Integrator
(Discrete or Continuous)/Discrete/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Integrator
(Discrete or Continuous)/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/up",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/lo",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/x",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Abs",Abs,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Compare
To Zero1",SubSystem,Compare To Zero
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Compare
To Zero1/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Compare
To Zero1/Compare",RelationalOperator,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Compare
To Zero1/Constant",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Compare
To Zero1/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Constant",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Logical
Operator",Logic,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Logical
Operator1",Logic,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Logical
Operator2",Logic,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Logical
Operator3",Logic,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Product",Product,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Relational
Operator",RelationalOperator,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Relational
Operator1",RelationalOperator,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Saturation",Saturate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Sum",Sum,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Sum1",Sum,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Logic/Switch",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Saturation
Dynamic",SubSystem,Saturation Dynamic
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Saturation
Dynamic/up",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Saturation
Dynamic/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Saturation
Dynamic/lo",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Saturation
Dynamic/Data Type
Duplicate",DataTypeDuplicate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Saturation
Dynamic/Data Type
Propagation",S-Function,Data Type Propagation
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Saturation
Dynamic/LowerRelop1",RelationalOperator,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Saturation
Dynamic/Switch",Switch,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Saturation
Dynamic/Switch2",Switch,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Saturation
Dynamic/UpperRelop",RelationalOperator,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Saturation
Dynamic/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/Switch",Switch,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Integrator with
variable limits/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Product",Product,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Saturation",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Saturation/V_E",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Saturation/Product",Product,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Saturation/Saturation",Lookup_n-D,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Saturation/S_E(V_E)",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Saturation/V_X",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Sum2",Sum,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Sum4",Sum,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/Ifd*K_D",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/S_E(V_E)",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/Bias1",Bias,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/Bias2",Bias,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)",SubSystem,First-order transfer function (Discrete or Continuous)
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/1//T",Product,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Constant",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Constant1",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Data Type
Conversion
Inherited",SubSystem,Conversion Inherited
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Data Type
Conversion
Inherited/DTS reference",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Data Type
Conversion
Inherited/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Data Type
Conversion
Inherited/Conversion",DataTypeConversion,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Data Type
Conversion
Inherited/Data Type
Duplicate",DataTypeDuplicate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Data Type
Conversion
Inherited/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Enable//disable
time constant",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Enable//disable
time constant/x",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Enable//disable
time constant/Avoid Divide
by Zero",Fcn,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Enable//disable
time constant/Max",MinMax,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Enable//disable
time constant/Probe",Probe,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Enable//disable
time constant/Selector",Selector,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Enable//disable
time constant/Time
constant",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Enable//disable
time constant/max(T,Ts)",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Integrator
(Discrete or Continuous)",SubSystem,Integrator (Discrete or Continuous)
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Integrator
(Discrete or Continuous)/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Integrator
(Discrete or Continuous)/Reset",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Integrator
(Discrete or Continuous)/x0",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Integrator
(Discrete or Continuous)/Discrete",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Integrator
(Discrete or Continuous)/Discrete/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Integrator
(Discrete or Continuous)/Discrete/Reset",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Integrator
(Discrete or Continuous)/Discrete/x0",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Integrator
(Discrete or Continuous)/Discrete/Integrator",DiscreteIntegrator,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Integrator
(Discrete or Continuous)/Discrete/Saturation",Saturate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Integrator
(Discrete or Continuous)/Discrete/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Integrator
(Discrete or Continuous)/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/Sum1",Sum,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/First-order transfer function
(Discrete or Continuous)/y",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/Gain",Gain,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/Product",Product,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/Saturation1",Saturate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_Emax/V_Emax",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/x0",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/x1",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/Efd",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/AC Rotating
Exciter/V_FE",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Constant",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/E_FE
maxmin",Saturate,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Gain1",Gain,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Math
Function",Math,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback",SubSystem,Filtered Derivative (Discrete or Continuous)
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/1//T",Product,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Constant",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Enable//disable
time constant",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Enable//disable
time constant/x",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Enable//disable
time constant/Avoid Divide
by Zero",Fcn,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Enable//disable
time constant/MinMax",MinMax,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Enable//disable
time constant/Minimum sampling
to time constant
ratio",Gain,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Enable//disable
time constant/Probe",Probe,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Enable//disable
time constant/Selector",Selector,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Enable//disable
time constant/Time
constant",Constant,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Enable//disable
time constant/max(T,r*Ts)",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Gain",Gain,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Initialization",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Initialization/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Initialization/Init_u",SubSystem,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Initialization/Init_u/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Initialization/Init_u/x0",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Initialization/x0",Outport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Integrator
(Discrete or Continuous)",SubSystem,Integrator (Discrete or Continuous)
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Integrator
(Discrete or Continuous)/u",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Integrator
(Discrete or Continuous)/Reset",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Integrator
(Discrete or Continuous)/x0",Inport,
"IEEE39BusSystem_dynamic_experiment_wrapper/Generators/Gen10@Bus30/AVR and Exciter/SM AC1C/Rate Feedback/Integrator
(Discrete or Continuous)/Discrete",SubSystem,
